nome_cliente,topico,mensagem,data_criacao,status
Enzo Gabriel Campos,Outro,Quisquam vero nesciunt consectetur magnam numquam reprehenderit occaecati fugit ab voluptas.,2025-04-23 02:03:12,Pendente
Alexia da Cunha,Atraso na entrega,Quisquam debitis quos dolorem facere voluptas.,2025-03-19 09:07:47,Resolvido
Valentina Viana,Problema no pedido,Cum quidem consequatur minima dolor laboriosam accusantium.,2025-04-04 13:40:00,Resolvido
Elisa da Conceição,Cobrança indevida,Quaerat consectetur id nesciunt sed fugit beatae doloribus facere doloremque earum nemo modi.,2025-01-15 20:41:25,Resolvido
Elisa Moreira,Outro,Quod ipsum eius sint officiis quasi consequuntur nesciunt non quaerat ab iste dolorem.,2025-04-05 00:28:49,Pendente
Noah Novaes,Erro no app,Occaecati voluptas recusandae enim est numquam praesentium porro dicta quam natus.,2025-05-12 11:58:17,Em análise
Ian Azevedo,Outro,Laboriosam eligendi natus quo error velit inventore omnis in aspernatur fugit.,2025-01-19 15:05:50,Em análise
Maria Vitória Oliveira,Problema no pedido,Rerum libero eveniet at fugit optio debitis nostrum soluta dolores natus eaque.,2025-01-31 16:40:08,Em análise
Kevin Oliveira,Outro,Possimus impedit sequi temporibus dignissimos ullam dolore quas saepe.,2025-04-06 13:09:03,Pendente
Srta. Ana Beatriz Rocha,Problema no pedido,Fugiat beatae reprehenderit quis eveniet corrupti in repellendus ullam dolor totam iste.,2025-02-26 07:37:18,Em análise
Emanuel Rodrigues,Cobrança indevida,Fuga vel voluptates repellat ea fuga ad distinctio magnam odio rem corporis.,2025-02-17 08:06:25,Em análise
Brenda Campos,Atraso na entrega,Nihil debitis nemo veritatis deserunt incidunt dolores consectetur natus nemo eveniet eos.,2025-03-16 18:21:05,Em análise
Yago Pires,Erro no app,Asperiores distinctio facere enim sunt incidunt quasi recusandae dolorem.,2025-04-25 14:49:56,Resolvido
Maria Cecília Porto,Outro,Sunt quisquam distinctio cumque sint sequi commodi dolorum tempora tenetur mollitia laborum vel.,2025-01-09 19:13:39,Em análise
Srta. Ana Beatriz Souza,Atraso na entrega,Autem corporis tenetur dolores pariatur unde eligendi minus recusandae.,2025-04-23 01:37:50,Pendente
Clara Lima,Atraso na entrega,Suscipit consequatur reiciendis amet enim vel esse vel pariatur recusandae neque.,2025-01-03 03:30:10,Resolvido
Luigi Vieira,Atraso na entrega,Illo enim quod facilis quo quidem sequi.,2025-01-24 23:29:11,Resolvido
Vinicius da Paz,Atraso na entrega,Ad iste delectus rem iste cumque.,2025-04-07 23:35:47,Resolvido
Sra. Sarah Almeida,Cobrança indevida,Blanditiis repudiandae sint excepturi omnis commodi corrupti quos minus tempore velit.,2025-01-18 06:53:30,Resolvido
Dr. Cauê Cavalcanti,Outro,Rerum tempora ut dolores numquam nulla corporis quod.,2025-01-10 02:54:34,Em análise
Diogo Porto,Atraso na entrega,Illo quae quia corrupti soluta necessitatibus dicta.,2025-03-22 23:50:08,Em análise
Srta. Gabriela Caldeira,Erro no app,Et magnam fuga quis qui soluta voluptate adipisci possimus.,2025-03-26 22:31:55,Em análise
Dr. Vinicius da Luz,Cobrança indevida,Tempore veniam ipsam adipisci qui in ad.,2025-02-02 05:16:44,Resolvido
Antônio Peixoto,Problema no pedido,Non saepe maiores harum veritatis quidem architecto hic aperiam eveniet.,2025-02-26 19:14:58,Pendente
Ana Ribeiro,Problema no pedido,Sunt nisi eum quae quae vitae tenetur facere doloribus perspiciatis nostrum.,2025-03-13 22:35:52,Em análise
Stella Ferreira,Cobrança indevida,Consectetur odit possimus voluptas saepe velit eos facere ipsum saepe alias.,2025-04-15 08:17:55,Pendente
Otávio Caldeira,Problema no pedido,Facere velit debitis ab impedit nisi voluptatibus nostrum.,2025-02-02 06:15:11,Pendente
Pedro Cardoso,Erro no app,Magni placeat voluptatem ratione doloribus debitis esse temporibus iure laudantium eligendi quasi.,2025-01-10 18:55:21,Pendente
Yago Moura,Problema no pedido,Recusandae beatae voluptas laudantium aut nisi ea iure itaque omnis quas optio.,2025-01-24 04:32:10,Em análise
Anthony Castro,Problema no pedido,Corrupti minus placeat sequi corrupti sunt blanditiis perferendis reiciendis nihil occaecati.,2025-01-22 09:00:44,Pendente
Matheus Oliveira,Cobrança indevida,Laudantium cumque debitis dolor repellendus consequatur eum earum reiciendis similique modi.,2025-03-12 17:14:35,Pendente
Lorenzo das Neves,Outro,Minima voluptas totam amet rerum vitae mollitia magni minima accusamus possimus.,2025-03-16 23:00:03,Resolvido
Caroline Freitas,Problema no pedido,Libero mollitia sequi eveniet unde sequi consequuntur assumenda hic.,2025-03-11 08:38:29,Resolvido
Enrico Alves,Problema no pedido,Corrupti accusamus unde nesciunt quo molestias.,2025-02-13 09:57:10,Resolvido
Kaique Azevedo,Atraso na entrega,Numquam tempora quibusdam consequuntur itaque voluptatum iusto fuga soluta dignissimos.,2025-02-12 15:59:52,Pendente
Nina Moura,Cobrança indevida,Consequuntur corrupti sit ab nostrum nam ab quibusdam.,2025-02-18 10:14:08,Resolvido
Rafaela Oliveira,Cobrança indevida,Id rem sapiente excepturi explicabo sit.,2025-02-01 03:43:28,Em análise
Elisa Ribeiro,Outro,Sed consectetur repudiandae harum harum consectetur aliquam commodi ut optio repellendus.,2025-03-01 06:58:47,Pendente
Pedro Duarte,Cobrança indevida,Fugit laborum et nihil debitis aspernatur vel doloribus voluptate laudantium laborum facere.,2025-01-24 06:34:11,Resolvido
Bárbara Almeida,Outro,Minus asperiores magni eligendi odio omnis labore tempore neque vero laborum quidem.,2025-03-12 15:56:47,Resolvido
Ana Sophia da Cunha,Atraso na entrega,Aspernatur in maiores vitae ipsum necessitatibus molestiae.,2025-02-22 22:06:17,Pendente
Joaquim Ramos,Atraso na entrega,Officiis sunt tempora quidem praesentium enim sit ratione.,2025-04-02 21:10:53,Pendente
Laura da Cruz,Problema no pedido,Voluptas repellat possimus laboriosam quibusdam provident.,2025-03-30 17:04:34,Resolvido
Ana Beatriz Caldeira,Atraso na entrega,Aperiam alias itaque deleniti perspiciatis occaecati quos itaque molestiae quos ipsam.,2025-05-07 11:44:56,Resolvido
Gabriel das Neves,Outro,Fuga voluptate eius nisi nam quibusdam amet.,2025-04-04 10:14:47,Pendente
Juliana Lima,Problema no pedido,Eum quae esse modi dolorum fugiat ex veniam nihil ex veritatis rerum.,2025-02-12 08:17:17,Resolvido
Vitor Farias,Problema no pedido,Architecto mollitia mollitia molestiae sequi officia facilis voluptate est fugit.,2025-02-12 10:11:13,Resolvido
Brenda Rocha,Cobrança indevida,Et ullam sit quam eaque minima.,2025-01-07 05:18:06,Em análise
Alice Vieira,Outro,Odio voluptatum odit voluptatem quos eveniet cum vero fuga quasi dicta.,2025-02-26 01:31:23,Resolvido
Cecília Monteiro,Problema no pedido,Expedita excepturi adipisci illum deleniti nam fugit accusantium eveniet porro quibusdam porro accusamus nesciunt.,2025-03-13 04:40:51,Resolvido
Ana Beatriz Almeida,Outro,Suscipit quasi repellat vitae pariatur consequuntur nam aliquid minus.,2025-05-17 09:47:40,Resolvido
Maysa Gonçalves,Erro no app,Dicta iure qui accusamus numquam perferendis deserunt praesentium.,2025-04-03 05:47:51,Resolvido
Levi Lima,Atraso na entrega,Veritatis illum similique consectetur aperiam facilis quisquam quos laborum ipsam.,2025-04-25 11:11:12,Resolvido
Maria Cecília Barros,Problema no pedido,Molestias ad aut molestias nobis amet temporibus perspiciatis earum illo facilis neque.,2025-03-15 14:01:44,Em análise
Dr. Benjamin da Rosa,Cobrança indevida,Odit suscipit quasi natus non laudantium.,2025-03-28 03:17:18,Pendente
Dra. Sofia Nascimento,Atraso na entrega,Veniam harum explicabo eligendi consequatur consequatur nulla eum excepturi fugit quam maxime.,2025-01-02 12:11:42,Em análise
Emilly da Rocha,Problema no pedido,Explicabo provident labore eius repellat aut quae et fuga molestias officia ab.,2025-01-08 00:31:32,Pendente
Clara das Neves,Outro,Aliquam rem ratione quia accusamus nisi modi inventore quibusdam eveniet facilis debitis tempora.,2025-01-04 13:12:30,Pendente
Enzo Duarte,Erro no app,Itaque iste magni dolor repudiandae minima occaecati expedita qui blanditiis placeat.,2025-02-11 00:00:56,Em análise
Sra. Eduarda Gonçalves,Erro no app,Illo amet maiores recusandae illo ipsum ratione error necessitatibus ratione.,2025-05-11 19:57:23,Resolvido
Maria Eduarda Oliveira,Outro,Eos nesciunt cumque temporibus dignissimos quam.,2025-03-16 06:30:54,Em análise
Dra. Isis Oliveira,Erro no app,Nobis ea eaque maxime officiis distinctio commodi maxime.,2025-03-01 10:38:31,Resolvido
Breno Araújo,Outro,Earum facilis voluptatem accusantium accusamus aperiam quia quod tempora molestiae ducimus.,2025-02-02 18:55:31,Resolvido
Gustavo Nogueira,Atraso na entrega,Dolorum provident deleniti inventore distinctio quia harum ab quo cupiditate voluptate deserunt.,2025-04-14 15:58:13,Pendente
Maria Fernanda Pires,Cobrança indevida,Numquam odit quibusdam accusamus ut provident excepturi voluptate similique at ea nesciunt.,2025-04-29 02:16:14,Resolvido
Dr. Vinicius Silveira,Cobrança indevida,Nemo minima debitis quidem reprehenderit corrupti qui quasi pariatur atque ducimus totam ad debitis.,2025-01-31 03:07:51,Em análise
Sra. Isadora Moura,Problema no pedido,Eum error odio autem quidem commodi aperiam id recusandae accusantium eius perspiciatis a.,2025-05-17 14:36:24,Resolvido
Maria Cecília Viana,Problema no pedido,Nemo amet sit nobis nisi saepe praesentium maxime.,2025-01-31 15:24:02,Em análise
Isaac da Cunha,Erro no app,Aspernatur nulla iste sunt corporis illo fugit dolores deleniti rerum ad est.,2025-01-12 23:43:23,Resolvido
Luiz Miguel Sales,Cobrança indevida,Quod laudantium facere nisi voluptatum dicta.,2025-02-20 06:41:18,Resolvido
Theo da Conceição,Atraso na entrega,Dolorem iusto autem tenetur quo temporibus omnis dolores nostrum impedit.,2025-02-16 00:44:48,Resolvido
Renan Alves,Atraso na entrega,Repellat perspiciatis optio sit quisquam consectetur pariatur facilis quas.,2025-04-11 00:38:28,Pendente
Kevin Costela,Erro no app,Illum quod consequuntur dicta quibusdam aspernatur recusandae quis porro.,2025-04-15 08:13:16,Em análise
Dra. Lívia Viana,Erro no app,Officia sapiente eum vero vel explicabo explicabo ipsum magni unde.,2025-02-05 20:31:22,Resolvido
Murilo Rocha,Cobrança indevida,Nostrum nemo quis temporibus nesciunt suscipit atque.,2025-05-16 07:28:50,Resolvido
Diego Fogaça,Erro no app,Laborum voluptates dolor esse consequatur nulla qui amet nesciunt.,2025-04-04 14:08:59,Pendente
Luiz Otávio Cardoso,Erro no app,Doloremque earum qui dolor animi unde blanditiis doloribus.,2025-05-06 08:37:42,Pendente
Caio Moreira,Problema no pedido,Rerum corrupti eum pariatur debitis cupiditate impedit ea.,2025-02-04 17:38:47,Em análise
Theo Peixoto,Outro,Magnam laudantium non inventore laudantium ullam eligendi tenetur debitis rerum ad blanditiis dignissimos.,2025-01-18 21:28:23,Em análise
Sofia da Rosa,Problema no pedido,Eveniet modi corporis natus beatae harum sed neque.,2025-01-23 06:03:31,Pendente
Murilo Porto,Cobrança indevida,Cum consectetur itaque quo quis itaque officiis.,2025-01-13 05:07:00,Resolvido
Heloísa da Conceição,Erro no app,Sed consectetur optio officiis doloremque eos quaerat perferendis ab ullam nesciunt.,2025-03-16 06:43:25,Resolvido
Daniel da Mata,Cobrança indevida,Veritatis quo in temporibus repellendus itaque accusantium consequatur.,2025-02-20 06:25:12,Resolvido
