nome_usuario,pedido,categoria,preco,meio_pedido,data_pedido,restaurante
Pietro Santos,Doce 3,Doce,47.7,Site,2025-03-15 21:38:12,Pizza Express
Luigi da Paz,Pizza 3,Pizza,35.64,App,2025-04-22 18:42:04,Burger Mania
Sr. Gustavo Henrique Moraes,Pizza 1,Pizza,19.28,App,2025-05-10 03:50:54,Burger Mania
Stephany Cardoso,Hamburguer 1,Hamburguer,111.54,Loja física,2025-03-23 09:46:04,Pizza Express
Isabel Ramos,Sushi 5,Sushi,23.2,Loja física,2025-05-17 08:59:24,Temaki Brasil
Raquel Souza,Marmita 2,Marmita,36.35,Telefone,2025-02-03 06:06:22,Burger Mania
Enrico Freitas,Doce 1,Doce,43.63,Telefone,2025-02-05 07:35:35,Marmitaria Boa Vida
Srta. Maitê Freitas,Hamburguer 3,Hamburguer,104.71,Loja física,2025-02-07 12:55:37,Pizza Express
Sra. Ana Carolina da Mata,Marmita 3,Marmita,28.59,Telefone,2025-05-13 06:20:38,Temaki Brasil
Sr. Gabriel Duarte,Marmita 5,Marmita,23.71,Telefone,2025-03-05 22:55:47,Sabor Caseiro
Ana Carolina Barros,Salada 2,Salada,102.47,Telefone,2025-03-23 09:11:36,Marmitaria Boa Vida
Carolina Martins,Salada 4,Salada,28.94,Site,2025-02-02 10:30:43,Burger Mania
Joaquim Fernandes,Doce 3,Doce,112.47,Telefone,2025-01-23 11:48:46,Cantina do Chef
Diego Silva,Salada 3,Salada,40.51,Site,2025-03-31 17:02:10,Sabor Caseiro
Maria Sophia Cunha,Pizza 5,Pizza,103.79,App,2025-05-03 14:51:24,Temaki Brasil
Lorenzo Duarte,Marmita 3,Marmita,85.07,Telefone,2025-04-15 14:45:08,Sabor Caseiro
Gustavo Henrique Fernandes,Sushi 1,Sushi,48.77,App,2025-02-13 03:39:00,Marmitaria Boa Vida
Murilo Almeida,Hamburguer 3,Hamburguer,45.9,Loja física,2025-04-20 18:14:56,Cantina do Chef
Isabel Porto,Marmita 5,Marmita,26.43,Loja física,2025-03-13 23:07:58,Burger Mania
Pietro Nascimento,Doce 4,Doce,21.53,App,2025-03-22 03:34:57,Cantina do Chef
Kaique Sales,Pizza 1,Pizza,51.86,App,2025-01-10 09:47:32,Marmitaria Boa Vida
Lívia Melo,Pizza 3,Pizza,113.99,Telefone,2025-01-17 10:36:58,Pizza Express
Kamilly Moreira,Pizza 5,Pizza,52.22,Loja física,2025-05-17 16:46:31,Temaki Brasil
Lavínia Gonçalves,Sushi 4,Sushi,29.65,Loja física,2025-02-18 07:46:08,Marmitaria Boa Vida
Ana Julia Rodrigues,Sushi 5,Sushi,96.76,App,2025-02-15 19:32:14,Marmitaria Boa Vida
Carlos Eduardo Moraes,Marmita 5,Marmita,42.16,Loja física,2025-03-27 11:36:45,Pizza Express
Vitória Cardoso,Salada 2,Salada,50.79,Loja física,2025-04-11 14:40:02,Cantina do Chef
Guilherme Campos,Hamburguer 3,Hamburguer,116.32,Site,2025-03-08 15:00:30,Burger Mania
Lara Vieira,Hamburguer 5,Hamburguer,63.49,Loja física,2025-03-27 06:30:00,Temaki Brasil
Luiz Miguel Nogueira,Pizza 3,Pizza,25.58,App,2025-05-03 18:18:59,Cantina do Chef
Milena Alves,Doce 5,Doce,98.29,Telefone,2025-04-04 22:19:42,Marmitaria Boa Vida
Lorenzo Peixoto,Hamburguer 4,Hamburguer,118.53,App,2025-04-17 02:00:30,Pizza Express
Bruna Gonçalves,Hamburguer 3,Hamburguer,79.25,App,2025-02-18 21:11:48,Burger Mania
Enrico da Mata,Pizza 1,Pizza,110.93,App,2025-03-10 23:39:03,Temaki Brasil
Antônio Ferreira,Pizza 5,Pizza,59.77,App,2025-03-20 03:12:02,Pizza Express
Dra. Catarina Viana,Sushi 2,Sushi,68.22,Loja física,2025-01-15 15:11:27,Sabor Caseiro
Maria Sophia Duarte,Marmita 2,Marmita,39.12,App,2025-04-30 11:07:27,Temaki Brasil
Alana Farias,Doce 4,Doce,21.65,Loja física,2025-03-02 10:46:36,Marmitaria Boa Vida
Davi Lucas da Rocha,Salada 1,Salada,113.18,Site,2025-03-17 06:42:27,Marmitaria Boa Vida
Bianca Ribeiro,Marmita 2,Marmita,104.16,App,2025-01-14 07:23:08,Sabor Caseiro
Sra. Isabella da Cunha,Pizza 3,Pizza,24.84,Site,2025-01-05 01:28:11,Pizza Express
Rodrigo Azevedo,Doce 3,Doce,108.97,Site,2025-02-15 03:12:17,Temaki Brasil
Marcela Teixeira,Salada 5,Salada,107.94,Loja física,2025-05-16 06:49:11,Marmitaria Boa Vida
Elisa das Neves,Marmita 5,Marmita,91.87,App,2025-01-04 19:03:04,Temaki Brasil
Lara Ferreira,Doce 3,Doce,106.38,App,2025-03-24 07:48:22,Cantina do Chef
Maitê das Neves,Marmita 1,Marmita,108.86,App,2025-01-02 12:47:15,Burger Mania
Isis Dias,Salada 4,Salada,102.16,Telefone,2025-01-26 15:25:52,Marmitaria Boa Vida
Ian das Neves,Doce 3,Doce,55.34,Site,2025-03-22 19:02:57,Temaki Brasil
Maria Eduarda Peixoto,Salada 3,Salada,23.16,App,2025-04-17 19:36:57,Sabor Caseiro
Isabel Ramos,Marmita 5,Marmita,93.68,Telefone,2025-02-25 03:25:33,Cantina do Chef
Nicolas Monteiro,Hamburguer 1,Hamburguer,23.94,Telefone,2025-02-11 18:20:14,Sabor Caseiro
Amanda Vieira,Salada 3,Salada,56.12,Telefone,2025-04-26 00:47:36,Burger Mania
João Barbosa,Salada 5,Salada,84.01,Telefone,2025-02-19 14:10:04,Sabor Caseiro
Joana Rodrigues,Pizza 5,Pizza,108.09,Telefone,2025-01-25 11:17:30,Burger Mania
