nome_cliente,avaliacao,comentario,canal,data_feedback
Felipe Caldeira,1,Dignissimos ullam nobis odit earum totam porro reiciendis molestias in voluptatum.,App,2025-04-12 13:46:37
Enrico Dias,1,Eveniet recusandae eaque amet aliquam ea sint nesciunt laboriosam ipsam.,E-mail,2025-01-22 21:25:19
João Felipe Cardoso,2,Sint illum aperiam mollitia asperiores quaerat blanditiis ut aperiam.,App,2025-01-31 03:11:56
Rodrigo Aragão,4,Autem possimus laudantium necessitatibus dolore tempora error tenetur.,E-mail,2025-04-15 20:23:05
Matheus Cavalcanti,4,Tenetur distinctio similique amet in eos rem nam omnis magnam laboriosam voluptatem deleniti at doloribus.,Telefone,2025-04-08 00:50:53
Lavínia Dias,5,Mollitia eum laudantium perferendis esse nostrum quis sequi mollitia praesentium.,App,2025-02-27 06:57:40
Enrico Cunha,5,Inventore officiis soluta quaerat molestias dolorum consectetur mollitia non eaque voluptate magnam.,App,2025-05-08 16:48:35
Larissa Pires,1,Numquam repellat ullam cumque et accusamus consequatur praesentium dolorem nulla laboriosam porro repellendus exercitationem consectetur.,WhatsApp,2025-02-21 13:17:56
Dr. Caio Farias,1,Magnam commodi suscipit molestiae ab exercitationem architecto ducimus.,Telefone,2025-02-20 04:32:50
Olivia Cunha,1,Quasi sequi sint commodi enim asperiores ipsam repudiandae harum ullam nulla provident error.,E-mail,2025-03-22 03:51:47
Srta. Isabella da Rosa,1,Laborum mollitia quidem soluta error doloribus iure.,Telefone,2025-01-07 21:47:11
Stella Costela,4,Eaque accusamus repellat dolore magni iure omnis ab deserunt omnis eveniet a totam soluta quis.,E-mail,2025-04-22 23:48:45
Bruno Monteiro,3,Voluptates at nemo aliquam eveniet totam at id totam distinctio inventore quaerat eligendi.,Telefone,2025-04-30 20:51:08
Luiz Gustavo Melo,2,Exercitationem occaecati id fugiat consequatur expedita esse recusandae necessitatibus et explicabo quod natus maxime dolorum.,Telefone,2025-02-25 10:33:00
Antônio Pires,2,Totam quos unde molestias sint dolorem aut aspernatur at ut cum dolore architecto sunt deleniti.,WhatsApp,2025-04-08 12:24:16
Sarah Lopes,5,Debitis ut nemo sed quibusdam libero architecto.,WhatsApp,2025-03-19 13:20:02
Lucca Rodrigues,4,Voluptatem commodi animi nostrum molestias a occaecati assumenda incidunt aliquid maxime assumenda dignissimos vero.,WhatsApp,2025-03-21 03:15:31
Maria Cecília da Rosa,3,Libero cum minus laborum reprehenderit saepe quam atque sit quos quia earum assumenda.,WhatsApp,2025-03-08 22:58:56
Laura Fogaça,5,Deserunt sunt eveniet debitis fuga illo eaque.,App,2025-04-17 16:54:28
Guilherme Castro,5,Necessitatibus deserunt possimus inventore facilis nemo debitis ullam iure rem quibusdam.,WhatsApp,2025-03-18 11:53:58
Arthur Mendes,5,Temporibus voluptatem hic assumenda nisi atque repudiandae blanditiis maxime esse a harum debitis omnis distinctio.,App,2025-03-22 05:51:51
Kamilly Rocha,1,Ipsam inventore quo temporibus tenetur sit adipisci velit in placeat natus.,E-mail,2025-03-09 15:22:20
Julia Gomes,1,Optio vitae minima alias eos repellat aliquam id.,Telefone,2025-04-27 03:00:58
Brenda Farias,3,Laborum consectetur nulla exercitationem nisi nobis natus.,Telefone,2025-04-22 16:40:01
Cecília Oliveira,4,Corrupti dicta inventore excepturi harum a in voluptate necessitatibus at illum.,E-mail,2025-01-28 11:32:00
Pedro Miguel Nogueira,5,Cum deserunt laborum corrupti velit illo omnis aliquam odio atque unde necessitatibus ducimus dolores eos quisquam.,WhatsApp,2025-01-05 03:38:02
Dr. Vitor Hugo Ribeiro,2,Id possimus iusto et iste quaerat quidem eaque fuga ipsa magni repellendus delectus.,WhatsApp,2025-01-05 11:52:27
Bruna Castro,4,Adipisci saepe fugit autem assumenda at sit iste.,WhatsApp,2025-03-06 17:28:16
Kamilly Porto,2,Maiores laudantium id eveniet incidunt quae et alias nostrum.,Telefone,2025-04-19 10:04:07
Clara Alves,5,Architecto in possimus vero fuga ipsum enim dolores quidem.,App,2025-03-22 01:13:03
Stella Sales,5,Magni blanditiis doloremque molestias laudantium iusto voluptates maxime voluptates voluptate.,WhatsApp,2025-04-30 07:21:09
Luiza Nogueira,3,Amet hic aperiam molestiae similique nam sed minima consectetur quo natus tenetur.,WhatsApp,2025-02-04 02:17:16
Sr. Erick Freitas,2,Sit consequatur maiores inventore ullam quidem quia quas.,Telefone,2025-02-03 01:56:33
Daniela Rodrigues,3,Fugiat aliquid similique laborum quaerat rerum excepturi commodi facere labore inventore.,E-mail,2025-01-01 10:28:41
Kaique Almeida,2,Cum voluptatem perspiciatis sint minima architecto expedita consequuntur modi explicabo placeat culpa.,WhatsApp,2025-02-02 19:11:25
Beatriz Souza,5,Possimus quasi illum nihil dolore labore tenetur voluptatum blanditiis aut libero rerum dignissimos debitis aut.,WhatsApp,2025-03-30 10:50:12
Vitor Gabriel da Rosa,1,Consequatur accusamus aspernatur qui nesciunt cumque aliquid mollitia quaerat asperiores.,WhatsApp,2025-04-08 13:04:08
Benício Farias,1,Reiciendis iste repellat nihil nesciunt nostrum nesciunt temporibus sed quibusdam nostrum vel facere quo minus natus.,App,2025-03-23 03:29:41
Alice Gonçalves,5,Doloremque quibusdam magnam commodi dolorum aliquam minima odit occaecati rerum quidem magnam.,WhatsApp,2025-04-26 03:48:14
Maria Fernanda Cunha,3,Tempora harum libero totam ipsum natus soluta veniam quisquam illum fugit expedita modi.,E-mail,2025-01-02 19:26:36
Lucas Gabriel Barbosa,2,Nisi illum exercitationem odio dolor modi ducimus.,E-mail,2025-02-02 05:41:59
Benjamin Peixoto,4,Consequatur assumenda id libero rerum delectus iure animi architecto ab error rem.,E-mail,2025-04-10 15:21:48
Vitor Gabriel Campos,1,Ad excepturi error unde illum dignissimos ea molestiae dolore distinctio possimus accusantium.,Telefone,2025-04-16 15:53:33
Sr. João Vitor Fernandes,1,Error corrupti ipsam alias excepturi minus totam aliquam ipsum itaque esse quibusdam nemo alias.,WhatsApp,2025-01-14 22:39:11
João Jesus,5,Quisquam ratione sit natus reprehenderit ut facilis officiis quibusdam error aperiam optio vitae.,E-mail,2025-04-21 16:50:13
Marcelo Azevedo,2,Dignissimos modi distinctio molestias distinctio earum consectetur dolorum nisi minus.,WhatsApp,2025-05-06 11:30:44
